EXTERNALIDENTIFIER,LONGDESCRIPTION,DEPTH,HEIGHT,WIDTH,MAXDIM,MINDIM,TRAILERCASEQUANTITY,WEIGHT,TCWEIGHT,PPA,MAPE,ITEMVELOCITY,UNITSPERLARGETOTE,UNITSPERSMALLTOTE,UNITSPERQUARTERTOTE,UNITSPERHALFTOTE,RECOMMENDED_PPA,NEED_TO_CHANGE
574190683,,7.5,10.5,5,10.5,5,2,1.3,2.61,PICK_MODULE,220.81,22.30909091,13,7,2,3,MATRIX,Y
575759607,Kraft Stove Top Traditional Sage Stuffing Mix  6 oz Box,5,7.75,1.75,7.75,1.75,12,0.45,5.42,PICK_MODULE,89.69,22,77,39,9,19,MATRIX,Y
576905461,Premier Protein Shake  Pumpkin Spice  30g Protein  11.5 fl oz  12 Ct,7,7,10,10,7,1,10.82,10.82,PICK_MODULE,8.54,21.98181818,11,5,1,3,MATRIX,Y
554405411,Sweeper Dry + Wet All Purpose Floor Mopping and Cleaning Starter Kit with Heavy Duty Cloths  Includes: 1 Mop  7 Dry Pads  3 Wet Pads,6,3,12,12,3,6,1.45,8.72,OFFLINE_PICK,18.19,21.94545455,24,12,3,6,MATRIX,Y
575024268,Charmin Ultra Soft Toilet Paper  12 Super Mega Rolls = 72 Regular Rolls,17,10.25,8.5,17,8.5,1,5.57,5.57,PALLET_FLOW_MODULE,22.74,21.56363636,4,2,0,1,MATRIX,Y
565342517,Mainstays 8x10 Format Frame  Set of 3,8.25,1.75,10,10,1.75,4,2.26,9.03,PICK_MODULE,298.2,21.52727273,36,18,4,9,MATRIX,Y
554783280,VTech  Write & Learn Creative Center  Writing Toy for Preschoolers,15.75,3.75,13,15.75,3.75,3,2.71,8.12,PICK_MODULE,34.03,21.29090909,7,3,1,2,MATRIX,Y
573754731,Barbie Club Chelsea Camper Playset with Doll & 10+ Themed Accessories,17.5,8.5,5.75,17.5,5.75,2,2.21,4.41,PICK_MODULE,33.58,21.25454545,6,3,1,2,MATRIX,Y
573561545,Diet Pepsi Soda  16.9 oz Bottles  6 Count,8,9,4.75,9,4.75,4,5.97,23.88,PICK_MODULE,43.06,21.01818182,15,8,2,4,MATRIX,Y
576414594,Great Value Twist Tie Storage Bags  Gallon  100 Count,2.5,2.5,11.5,11.5,2.5,9,0.8,7.21,PICK_MODULE,62.91,20.94545455,73,37,9,18,MATRIX,Y
563189203,(12 Pack) 9Lives Gravy Favorites Wet Cat Food Variety Pack  5.5 oz. Cans,10.5,3,7.25,10.5,3,1,5.22,5.22,PICK_MODULE,116.22,20.92727273,23,12,3,6,MATRIX,Y
568306991,Wheaties  Cereal  with Whole Grain Flakes  15.6 oz,7.5,2.5,12,12,2.5,7,1.3,9.12,OFFLINE_PICK,137.43,20.70909091,23,12,3,6,MATRIX,Y
575896302,Ball Glass Mason Jar w/ Lid & Band  Regular Mouth  32 Ounces  12 Count,15.25,7.25,11.25,15.25,7.25,1,10.93,10.93,PICK_MODULE,113.45,20.52727273,4,2,0,1,MATRIX,Y
576257187,Wonder Nation Girl s Quilted Bubble Jacket (Little Girls  Big Girls & Plus),24,1,17,24,1,12,1.4,16.86,PICK_MODULE,35.98,20.29090909,13,7,2,3,MATRIX,Y
553036006,Diabetaid Pain & Tingle Relief Lotion  4 Fl Oz,3.5,2,6.5,6.5,2,12,0.3,3.61,PICK_MODULE,95.3,20.09090909,115,58,14,29,MATRIX,Y
556199773,Barbie Glam Cruise Convertible Signature Pink Vehicle with Seatbelts,15,3,14.5,15,3,2,1.4,2.81,PICK_MODULE,66.89,20.09090909,8,4,1,2,MATRIX,Y
573565013,Fisher Price Linkimals Smooth Moves Sloth  with Music & Lights,11,5.5,10.25,11,5.5,2,2.31,4.62,PICK_MODULE,16.26,19.90909091,8,4,1,2,MATRIX,Y
575409830,Rainbow Surprise by Poopsie: 14  Doll with 20+ Slime & Fashion Surprises  Rainbow Dream or Pixie Rose,11,16,5.5,16,5.5,2,0.6,1.2,PICK_MODULE,89.93,19.85454545,5,3,1,1,MATRIX,Y
576165314,Starbucks Holiday Blend Medium Roast Ground Coffee  18 Oz. Bag   Herbal & Sweet Maple Notes,4.5,9,3,9,3,6,1.5,9.03,PICK_MODULE,372.99,19.81818182,43,22,5,11,MATRIX,Y
569045950,Barbie Careers Farmer Doll and Tractor with Themed Accessories,13,5,16,16,5,2,2.11,4.21,PICK_MODULE,20.62,19.65454545,5,3,1,1,MATRIX,Y
568171138,Comfort Zone Ceramic Heater  Black  CZ446WM,10.25,10.25,6.75,10.25,6.75,2,2.81,5.62,PICK_MODULE,40.71,19.61818182,7,4,1,2,MATRIX,Y
554195872,Juicy Juice 100% Apple Juice  4.23 Fl. Oz.  8 Count,14,2.8,4.25,14,2.8,5,2,10.02,OFFLINE_PICK,26.32,19.56363636,32,16,4,8,MATRIX,Y
575759580,Tang Orange Liquid Drink Mix  Caffeine Free  1.62 fl oz Bottle,1.75,3.25,1.25,3.25,1.25,12,0.15,1.81,PICK_MODULE,40.85,19.41818182,738,374,87,184,MATRIX,Y
570654758,Doritos Nacho Cheese Flavored Tortilla Chips  Party Size  15 oz Bag,13.5,3.75,8,13.5,3.75,6,0.95,5.71,OFFLINE_PICK,14.77,19.38181818,13,7,2,3,MATRIX,Y
568545994,Coca Cola Mini Can Soda  7.5 Fl Oz  10 Count,11.5,4.25,4.5,11.5,4.25,3,5.57,16.71,PICK_MODULE,41.56,19.36363636,24,12,3,6,MATRIX,Y
552702261,Betty Crocker Sour Cream and Chives Potatoes  4.7 oz,8.25,1.5,5.75,8.25,1.5,7,0.35,2.45,PICK_MODULE,76.28,19.2,74,37,9,18,MATRIX,Y
572485146,Oral B Pro Health Jr. Battery Powered Kid s Toothbrush featuring Disney s Frozen  Soft  1 ct,2.25,2,9,9,2,24,0.25,6.02,PICK_MODULE,56.18,18.89090909,130,66,15,32,MATRIX,Y
576196233,Legion by Lenovo Y540 15.6  Gaming Laptop  Intel Core i5 9300H Processor  Nvidia GeForce GTX 1660Ti 6GB Graphics Card  16GB RAM  1TB Hard Drive  256GB NVMe SSD Storage  Black   81SX00FFUS,17.5,15,5,17.5,5,1,10.13,10.13,PICK_MODULE,307.16,18.74545455,4,2,0,1,MATRIX,Y
562906825,SAMSUNG Galaxy Tab A 7  8GB Android 5.1 WiFi Tablet Black   Micro SD Card Slot   SM T280NZKAXAR,7.9,4.9,2,7.9,2,1,1,1,PICK_MODULE,9,18.72727273,68,34,8,17,MATRIX,Y
564207985,Vitaminwater Zero Squeezed Enhanced Water  Lemonade   16.9 Fl Oz  6 Count,17,7.75,11.25,17,7.75,1,7.33,7.33,PICK_MODULE,92.33,18.58181818,4,2,0,1,MATRIX,Y
575329620,Air Hogs  Zero Gravity Laser  Laser Guided Real Wall Climbing Race Car  Blue,13,13,5,13,5,4,0.2,0.8,PICK_MODULE,35.06,18.54545455,6,3,1,2,MATRIX,Y
564130158,Air Wick plug in Scented Oil 2 Refills  Woodland Pine  (2x0.67oz)  Air Freshener  Essential Oils  Fall Scent  Fall dcor,4.75,5.75,1.75,5.75,1.75,6,0.35,2.11,PICK_MODULE,66.38,18.52727273,110,56,13,27,MATRIX,Y
576257188,Wonder Nation Girl s Quilted Bubble Jacket (Little Girls  Big Girls & Plus),12,1,23,23,1,12,2.01,24.08,PICK_MODULE,199.76,18.29090909,19,10,2,5,MATRIX,Y
555932315,The Pioneer Woman Country Garden Melamine Mixing Bowl Set  10 Piece Set,14,9,14,14,9,1,4.11,4.11,PICK_MODULE,72.58,18.23636364,3,2,0,1,MATRIX,Y
575329621,Air Hogs  Zero Gravity Laser  Laser Guided Real Wall Climbing Race Car  Red,13,13,5,13,5,4,0.2,0.8,PICK_MODULE,41.24,17.98181818,6,3,1,2,MATRIX,Y
571887777,LEGO Star Wars 20th Anniversary Edition Snowspeeder 75259,7.5,2.25,14,14,2.25,3,1.1,3.31,PICK_MODULE,112.88,17.96363636,22,11,3,6,MATRIX,Y
567030341,Nabisco Oreo Double Stuf Sandwich Cookies Party Size  26.7 Oz.,9.5,2.5,11.5,11.5,2.5,8,1.8,14.42,OFFLINE_PICK,55.44,17.92727273,19,10,2,5,MATRIX,Y
566991055,Downy Unstopables In Wash Scent Booster Beads  Fresh  42 Loads 20.1 oz,3.5,11.5,3.5,11.5,3.5,4,1.9,7.62,OFFLINE_PICK,24.17,17.85454545,37,19,4,9,MATRIX,Y
554707751,Barbie Ballerina Nikki Doll with Pink Tutu & Removable Tiara,5,0.1,8,8,0.1,4,0.15,0.6,PICK_MODULE,64.11,17.8,1313,665,154,328,MATRIX,Y
1792858,Mainstays 72   Combo Floor Lamp with Adjustable Reading Lamp   Black,6,11.5,11.25,11.5,6,2,8.08,16.15,PICK_MODULE,14.64,17.8,7,3,1,2,MATRIX,Y
969606,Wilson Championship Regular Duty Tennis Balls (1 can),3,8.75,3,8.75,3,12,0.5,6.02,PICK_MODULE,122.91,17.65454545,67,34,8,17,MATRIX,Y
572091121,Fortnite Boogie Twin/Full Reversible Comforter & Sham Set,14.5,8,11.75,14.5,8,2,3.46,6.92,PICK_MODULE,28.64,17.63636364,4,2,0,1,MATRIX,Y
576257201,Wonder Nation Metallic Quilted Bubble Jacket (Little Girls  Big Girls & Plus),24,1,17,24,1,12,1.45,17.44,PICK_MODULE,23.01,17.45454545,13,7,2,3,MATRIX,Y
552515116,McCormick Gluten Free Turkey Gravy Mix  0.88 oz,5,0.1,5,5,0.1,12,0.05,0.58,PICK_MODULE,75.02,17.30909091,2100,1064,247,524,MATRIX,Y
574919770,Skintimate Raspberry Rain Women s Shave Gel Twin Pack  14 Oz,7.25,2.5,4.5,7.25,2.5,6,1.3,7.82,PICK_MODULE,28.39,17.18181818,64,33,8,16,MATRIX,Y
574351140,Lite Brite Ultimate Classic  With 6 Templates and 200 Colored Pegs,13,11,2,13,2,4,1.4,5.62,PICK_MODULE,134.4,17.07272727,18,9,2,5,MATRIX,Y
570371722,,4,2,4.5,4.5,2,12,0.75,9.03,PICK_MODULE,57.04,16.67272727,146,74,17,36,MATRIX,Y
574769867,Polly Pocket Big Pocket World Donut Sleepover Pajama Party Playset,11.75,3,8.25,11.75,3,4,0.55,2.2,PICK_MODULE,313.52,16.61818182,18,9,2,5,MATRIX,Y
550567805,Hot Wheels Color Shifters Vehicle (Styles May Vary),6.5,1.5,5,6.5,1.5,10,0.1,1,PICK_MODULE,183.2,16.50909091,108,55,13,27,MATRIX,Y
551726289,Dickies Men s Dri Tech Comfort Crew Work Socks  5 Pack  Black  Size 12 15,7.5,10.5,2.5,10.5,2.5,12,0.85,10.23,PICK_MODULE,77.91,16.50909091,27,14,3,7,MATRIX,Y
574662792,,13,2,13,13,2,4,1.4,5.62,PICK_MODULE,37.48,16.38181818,16,8,2,4,MATRIX,Y
562744738,Gibson Home Everyday Square 12 Piece Dinnerware Set,11,10.75,12,12,10.75,1,15.7,15.7,PICK_MODULE,134.89,16.36363636,4,2,0,1,MATRIX,Y
573359397,Microsoft Xbox One S 1TB Battlefield V Bundle  White  234 00679,12,4.5,17,17,4.5,2,5.01,10.02,PICK_MODULE,243.15,16.29090909,6,3,1,1,MATRIX,Y
576040274,Krusteaz No Knead Country White Artisan Bread Mix  14 oz Box,5.5,7.5,1.5,7.5,1.5,12,1,12.03,PICK_MODULE,51.45,16.25454545,85,43,10,21,MATRIX,Y
568012107,Husky Drawstring Black Trash Bags  30 Gallon  82 Count,9,5,10,10,5,2,6.07,12.15,PICK_MODULE,28.51,16.23636364,12,6,1,3,MATRIX,Y
575586193,Matching Family Christmas Pajamas Womens and Womens Plus Buffalo Union Suit,24,1,14.5,24,1,12,1,12.03,PICK_MODULE,39.63,16.2,15,8,2,4,MATRIX,Y
576313937,Quilted Northern Ultra Plush Toilet Paper  12 Mega Rolls (= 48 Regular Rolls),14.75,8.25,10,14.75,8.25,1,4.56,4.56,PICK_MODULE,24.75,15.90909091,4,2,1,1,MATRIX,Y
550341087,Great Value Less Sodium Luncheon Meat  12 oz,3.5,2.25,3.5,3.5,2.25,12,0.8,9.61,PICK_MODULE,81.95,15.87272727,190,97,22,48,MATRIX,Y
574899773,,15,5.5,16,16,5.5,2,3.91,7.83,PICK_MODULE,303.86,15.81818182,4,2,0,1,MATRIX,Y
